objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
mciver001-1,April_04_1943_1a.pdf,1943-04-04,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Savannah, GA",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver001-2,April_04_1943_1b.pdf,1943-04-04,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Savannah, GA",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver001-3,April_04_1943_2a.pdf,1943-04-04,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Savannah, GA",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver002-1,August_01_1943_1a.pdf,1943-08-01,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Kingman, AZ",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver002-2,August_01_1943_1b.pdf,1943-08-01,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Kingman, AZ",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver002-3,August_01_1943_2a.pdf,1943-08-01,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Kingman, AZ",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver002-4,August_01_1943_2b.pdf,1943-08-01,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Kingman, AZ",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver003-1,August_07_1943_1a.pdf,1943-08-07,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Kingman, AZ",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver003-2,August_07_1943_1b.pdf,1943-08-07,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Kingman, AZ",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
mciver003-3,August_07_1943_2a.pdf,1943-08-07,,"McIver, William; Fimiani, Christin",,McIver Manuscript Collection,single-page; photographs,,"Kingman, AZ",single-page; photographs,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,,,,,,
