objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
mciver001-1,McIver Letter,1943-04-04,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Savannah, GA",,,,,,,,,,Image;StillImage,application/pdf,eng,,April_04_1943_1a.pdf,,,,,,,
mciver001-2,McIver Letter,1943-04-04,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Savannah, GA",,,,,,,,,,Image;StillImage,application/pdf,eng,,April_04_1943_1b.pdf,,,,,,,
mciver001-3,McIver Letter,1943-04-04,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Savannah, GA",,,,,,,,,,Image;StillImage,application/pdf,eng,,April_04_1943_2a.pdf,,,,,,,
mciver002-1,McIver Letter,1943-08-01,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_01_1943_1a.pdf,,,,,,,
mciver002-2,McIver Letter,1943-08-01,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_01_1943_1b.pdf,,,,,,,
mciver002-3,McIver Letter,1943-08-01,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_01_1943_2a.pdf,,,,,,,
mciver002-4,McIver Letter,1943-08-01,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_01_1943_2b.pdf,,,,,,,
mciver003-1,McIver Letter,1943-08-07,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_07_1943_1a.pdf,,,,,,,
mciver003-2,McIver Letter,1943-08-07,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_07_1943_1b.pdf,,,,,,,
mciver003-3,McIver Letter,1943-08-07,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_07_1943_2a.pdf,,,,,,,
mciver003-4,McIver Letter,1943-08-07,,"McIver, William; Fimiani, Christin",,Scanned image of letter from William McIver to Anne Duffy,single-page; photographs,communication; World War II; handwriting; letters,"Kingman, AZ",,,,,,,,,,Image;StillImage,application/pdf,eng,,August_07_1943_2b.pdf,,,,,,,
